Año,Indice de explosividad volcánica,Tipo de volcán,Elevación,Flag Tsunami,Flag Terremoto,Nombre y pais
1929,2,Estratovolcán,Historical,False,False,Etna (Italy)
1939,2,Estratovolcán,Historical,False,False,Tori-shima (Izu Is-Japan)
1940,2,Estratovolcán,Historical,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
1947,2,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1957,2,Estratovolcán,Historical,False,False,Oshima (Izu Is-Japan)
1979,2,Caldera,Historical,False,False,Aso (Kyushu-Japan)
1980,,Estratovolcán,Historical,False,False,Hood (US-Oregon)
1989,,Volcán en escudo,Historical,False,False,Kirishima (Kyushu-Japan)
1994,1,Caldera,Historical,False,False,Aso (Kyushu-Japan)
2001,3,Estratovolcán,Historical,False,False,Etna (Italy)
2011,2,Estratovolcán,Historical,False,False,Bulusan (Luzon-Philippines)
2014,,Estratovolcán,Historical,False,False,Kelut (Java)
-1370,6,Caldera,Historical,False,False,Pago (New Britain-SW Pac)
710,6,Caldera,Historical,False,False,Pago (New Britain-SW Pac)
1853,3,Estratovolcán,Historical,False,False,Mayon (Luzon-Philippines)
1872,4,Estratovolcán,Historical,False,False,Merapi (Java)
1878,3,Estratovolcán,Historical,True,False,Yasur (Vanuatu-SW Pacific)
1905,2,Volcán en escudo,Historical,True,False,Savai'i (Samoa-SW Pacific)
1918,4,Volcán subglacial,Historical,False,False,Katla (Iceland-S)
1944,2,Estratovolcán,Historical,True,False,Stromboli (Italy)
1952,2,volcán submarino,Holocene,True,False,Myojun Knoll (Izu Is-Japan)
1955,4,Cono piroclástico,Historical,False,False,Carran-Los Venados (Chile-C)
1961,3,Estratovolcán,Historical,False,False,Merapi (Java)
1975,3,Estratovolcán,Historical,False,False,Arenal (Costa Rica)
1980,3,Estratovolcán,Historical,False,False,Hekla (Iceland-S)
1981,2,Estratovolcán,Historical,False,False,Paluweh (Lesser Sunda Is)
1988,,Volcán complejo,Historical,False,False,Akita-Yake-yama (Honshu-Japan)
1991,2,Volcán en escudo,Historical,False,False,Karthala (Indian O-W)
1994,3,Estratovolcán,Historical,False,False,Merapi (Java)
1995,1,Estratovolcán,Historical,False,False,Yake-dake (Honshu-Japan)
2002,,Estratovolcán,Historical,True,False,Stromboli (Italy)
2003,3,Estratovolcán,Historical,True,False,Soufriere Hills (W Indies)
2010,3,Estratovolcán,Historical,False,False,Tungurahua (Ecuador)
2018,2,Estratovolcán,Historical,False,False,Fuego (Guatemala)
-1050,6,Estratovolcán,Historical,False,False,Pinatubo (Luzon-Philippines)
764,4,Estratovolcán,Historical,False,False,Sakura-jima (Kyushu-Japan)
766,3,Estratovolcán,Historical,True,True,Sakura-jima (Kyushu-Japan)
1760,4,Estratovolcán,Historical,False,False,Makian (Halmahera-Indonesia)
1766,4,Estratovolcán,Historical,False,False,Hekla (Iceland-S)
1790,4,Volcán en escudo,Historical,False,False,Kilauea (Hawaiian Is)
1803,2,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1813,2,Volcán complejo,Historical,True,False,Vesuvius (Italy)
1825,3,Estratovolcán,Historical,False,False,Shishaldin (Aleutian Is)
1869,2,Estratovolcán,Historical,False,False,Lamongan (Java)
1883,,Caldera,Historical,True,False,Krakatau (Indonesia)
1900,2,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1914,,Estratovolcán,Historical,False,False,White Island (New Zealand)
1928,3,Estratovolcán,Historical,True,False,Paluweh (Lesser Sunda Is)
1952,2,volcán submarino,Holocene,True,False,Myojun Knoll (Izu Is-Japan)
1953,0,Volcán complejo,Historical,False,False,Sirung (Lesser Sunda Is)
1963,2,Estratovolcán,Historical,False,False,Villarrica (Chile-C)
1976,2,Estratovolcán,Historical,False,False,Merapi (Java)
1977,3,Estratovolcán,Historical,False,False,Usu (Hokkaido-Japan)
1980,5,Estratovolcán,Historical,True,True,St. Helens (US-Washington)
1981,,Estratovolcán,Tephrochronology,False,False,Vilyuchik (Kamchatka)
1985,3,Estratovolcán,Historical,False,False,Ruiz (Colombia)
1990,3,Estratovolcán,Historical,False,False,Shiveluch (Kamchatka)
1990,3,Estratovolcán,Historical,False,False,Santa Maria (Guatemala)
1995,3,Estratovolcán,Historical,False,False,Yasur (Vanuatu-SW Pacific)
2006,1,Estratovolcán,Historical,False,False,Merapi (Java)
2010,2,Estratovolcán,Historical,False,False,Eyjafjallajokull (Iceland-S)
2010,3,Estratovolcán,Historical,False,False,Tungurahua (Ecuador)
2011,,Volcán subglacial,Historical,False,False,Katla (Iceland-S)
2015,,Estratovolcán,Holocene,False,False,Sinabung (Sumatra)
2018,2,Escudo piroclástico,Historical,False,True,Ambrym (Vanuatu-SW Pacific)
2019,4,Estratovolcán,Historical,False,False,Manam (New Guinea-NE of)
-3550,6,Estratovolcán,Historical,False,False,Pinatubo (Luzon-Philippines)
1050,,Volcán en escudo,Historical,True,False,Santorini (Greece)
1177,3,Volcán subglacial,Historical,False,False,Katla (Iceland-S)
1595,4,Estratovolcán,Historical,False,False,Ruiz (Colombia)
1598,3,Caldera,Historical,False,False,Banda Api (Banda Sea)
1638,4,Estratovolcán,Historical,False,False,Raung (Java)
1659,3,Estratovolcán,Historical,False,True,San Salvador (El Salvador)
1684,2,Caldera,Historical,False,False,Grimsvotn (Iceland-NE)
1693,4,Estratovolcán,Historical,True,False,Hekla (Iceland-S)
1694,3,Caldera,Historical,False,False,Banda Api (Banda Sea)
1794,3,Volcán complejo,Historical,False,False,Vesuvius (Italy)
1800,1,Respiradero de fisura,Historical,False,False,San Jorge (Azores)
1816,2,Caldera,Historical,False,False,Aso (Kyushu-Japan)
1817,2,Estratovolcán,Historical,False,False,Ijen (Java)
1825,,Estratovolcán,Holocene,False,False,Balbi (Bougainville-SW Paci)
1846,1,Estratovolcán,Historical,False,False,E-san (Hokkaido-Japan)
1875,,Estratovolcán,Historical,False,False,Mayon (Luzon-Philippines)
1889,2,volcán submarino,Historical,True,True,Banua Wuhu (Sangihe Is-Indonesia)
1912,6,Caldera,Historical,False,False,Novarupta (Alaska Peninsula)
1953,,Volcán complejo,Radiocarbon,False,False,Hakone (Honshu-Japan)
1961,,Estratovolcán,Tephrochronology,False,False,Daisetsu (Hokkaido-Japan)
1964,1,Volcán complejo,Historical,False,False,Dieng Volc Complex (Java)
1965,0,volcán submarino,Historical,True,False,Kick-'em-Jenny (W Indies)
1971,2,Estratovolcán,Historical,True,False,Tinakula (Santa Cruz Is-SW Pac)
1976,2,Estratovolcán,Historical,False,False,Semeru (Java)
1976,2,Estratovolcán,Historical,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
1978,3,Estratovolcán,Historical,False,False,Santa Maria (Guatemala)
1983,2,Estratovolcán,Historical,False,False,Kliuchevskoi (Kamchatka)
1986,3,Estratovolcán,Historical,False,False,Oshima (Izu Is-Japan)
1992,2,Estratovolcán,Historical,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
2002,3,Estratovolcán,Historical,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
2013,3,Estratovolcán,Historical,False,False,Paluweh (Lesser Sunda Is)
2013,2,Estratovolcán,Holocene,False,False,Sinabung (Sumatra)
2017,2,Estratovolcán,Holocene,False,False,Sinabung (Sumatra)
2018,1,Caldera,Historical,True,False,Krakatau (Indonesia)
2019,,Estratovolcán,Historical,False,False,Ulawun (New Britain-SW Pac)
450,6,Caldera,Historical,False,False,Ilopango (El Salvador)
1565,3,Volcán complejo,Historical,False,True,Pacaya (Guatemala)
1716,3,Volcán en escudo,Historical,False,False,Kirishima (Kyushu-Japan)
1721,1,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1762,2,Estratovolcán,Historical,False,False,Kliuchevskoi (Kamchatka)
1784,,Estratovolcán,Historical,False,False,Sabancaya (Peru)
1786,2,Volcán complejo,Historical,False,False,Dieng Volc Complex (Java)
1800,,Volcán complejo,Historical,False,False,Guntur (Java)
1800,0,Volcán en escudo,Historical,False,False,Hualalai (Hawaiian Is)
1839,2,volcán submarino,Uncertain,True,False,Unnamed (Chile-Is)
1861,2,Caldera,Historical,False,False,Grimsvotn (Iceland-NE)
1878,3,Escudo piroclástico,Historical,True,True,Rabaul (New Britain-SW Pac)
1901,3,Estratovolcán,Historical,False,False,Kelut (Java)
1911,3,Estratovolcán,Historical,True,True,Taal (Luzon-Philippines)
1917,3,Estratovolcán,Historical,False,False,"Lengai, Ol Doinyo (Africa-E)"
1921,,Estratovolcán,Historical,False,False,Nasu (Honshu-Japan)
1933,,Volcán complejo,Radiocarbon,False,False,Hakone (Honshu-Japan)
1941,2,Estratovolcán,Historical,False,False,Semeru (Java)
1944,2,Estratovolcán,Historical,False,False,Usu (Hokkaido-Japan)
1947,4,Estratovolcán,Historical,False,False,Hekla (Iceland-S)
1976,,Estratovolcán,Historical,False,False,Kusatsu-Shirane (Honshu-Japan)
1979,2,Estratovolcán,Historical,False,False,Etna (Italy)
1982,4,Estratovolcán,Historical,False,False,Galunggung (Java)
1988,3,Estratovolcán,Historical,False,False,Arenal (Costa Rica)
2005,,Volcán en escudo,Historical,False,False,Karthala (Indian O-W)
2010,,Estratovolcán,Historical,False,False,Tengger Caldera (Java)
200,,Campo volcánico,Historical,False,False,"Arhab, Harra of (Arabia-S)"
640,2,Campo volcánico,Anthropology,False,False,"Uwayrid, Harrat (Arabia-W)"
1169,,Estratovolcán,Historical,True,False,Etna (Italy)
1600,6,Estratovolcán,Historical,False,True,Huaynaputina (Peru)
1629,2,Caldera,Historical,False,False,Grimsvotn (Iceland-NE)
1717,3,Estratovolcán,Historical,False,False,Bardarbunga (Iceland-NE)
1778,4,Estratovolcán,Historical,False,False,Raikoke (Kuril Is)
1789,2,Estratovolcán,Historical,False,False,Oshima (Izu Is-Japan)
1805,2,Volcán complejo,Historical,False,False,Vesuvius (Italy)
1829,2,Volcán complejo,Historical,False,False,Guntur (Java)
1837,,Volcán complejo,Historical,True,True,Peuet Sague (Sumatra)
1853,2,volcán submarino,Historical,True,False,Unnamed (Taiwan-E of)
1854,2,Caldera,Historical,False,False,Aso (Kyushu-Japan)
1860,2,Estratovolcán,Historical,False,False,Semeru (Java)
1871,2,Estratovolcán,Historical,True,True,Camiguin (Mindanao-Philippines)
1875,5,Estratovolcán,Historical,False,False,Askja (Iceland-NE)
1886,4,Estratovolcán,Historical,False,False,Tungurahua (Ecuador)
1886,2,Domo de lava,Historical,False,False,Okataina (New Zealand)
1893,4,Estratovolcán,Historical,False,False,Calbuco (Chile-S)
1951,3,Estratovolcán,Historical,False,False,Camiguin (Mindanao-Philippines)
1953,2,volcán submarino,Holocene,True,False,Myojun Knoll (Izu Is-Japan)
1957,,Volcán complejo,Historical,False,False,Unzen (Kyushu-Japan)
1981,3,Estratovolcán,Historical,False,False,Semeru (Java)
1993,,Estratovolcán,Historical,False,False,Wurlali (Banda Sea)
1993,1,Estratovolcán,Historical,False,False,Pinatubo (Luzon-Philippines)
1996,2,Estratovolcán,Historical,False,False,Kanlaon (Philippines-C)
2013,,Estratovolcán,Historical,False,False,Mayon (Luzon-Philippines)
2017,,Estratovolcán,Historical,False,False,Etna (Italy)
2017,,Volcán complejo,Historical,False,False,Dieng Volc Complex (Java)
-141,,Estratovolcán,Historical,False,False,Etna (Italy)
1262,3,Volcán subglacial,Historical,False,False,Katla (Iceland-S)
1300,4,Estratovolcán,Historical,False,False,Hekla (Iceland-S)
1331,2,Caldera,Historical,False,False,Aso (Kyushu-Japan)
1714,,Volcán complejo,Historical,True,False,Vesuvius (Italy)
1907,,Volcán en escudo,Historical,True,False,Savai'i (Samoa-SW Pacific)
1911,2,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1913,4,Estratovolcán,Historical,False,False,Colima (Mexico)
1944,3,Estratovolcán,Historical,False,False,Cleveland (Aleutian Is)
1952,2,volcán submarino,Holocene,True,False,Myojun Knoll (Izu Is-Japan)
1960,3,Estratovolcán,Holocene,True,True,Puyehue (Chile-C)
1971,2,Estratovolcán,Historical,False,False,La Palma (Canary Is)
1972,1,Estratovolcán,Historical,True,False,Ritter Island (New Guinea-NE of)
1979,3,Estratovolcán,Historical,False,False,Soufriere St. Vincent (W Indies)
1983,3,Estratovolcán,Historical,False,True,Miyake-jima (Izu Is-Japan)
1984,3,Estratovolcán,Historical,False,False,Etna (Italy)
1990,2,Caldera,Historical,False,False,Aso (Kyushu-Japan)
1991,2,Estratovolcán,Historical,False,False,Etna (Italy)
1994,3,Estratovolcán,Historical,False,False,Semeru (Java)
2007,,Estratovolcán,Historical,False,False,Salak (Java)
2017,2,Estratovolcán,Historical,False,False,Fuego (Guatemala)
2017,,Volcán en escudo,Historical,False,False,Aoba (Vanuatu-SW Pacific)
2018,3,Volcán en escudo,Historical,False,False,Aoba (Vanuatu-SW Pacific)
2019,2,Estratovolcán,Historical,True,False,Stromboli (Italy)
-1550,,Estratovolcán,Historical,False,False,Redoubt (Alaska-SW)
-250,6,Estratovolcán,Historical,False,False,Raoul Island (Kermadec Is)
1640,5,Estratovolcán,Historical,True,True,Komaga-take (Hokkaido-Japan)
1785,3,Estratovolcán,Historical,False,False,Aoga-shima (Izu Is-Japan)
1812,3,Estratovolcán,Historical,False,False,Awu (Sangihe Is-Indonesia)
1853,0,Volcán en escudo,Historical,False,False,Niuafo'ou (Tonga-SW Pacific)
1892,2,Estratovolcán,Historical,False,False,Sorikmarapi (Sumatra)
1917,3,Estratovolcán,Historical,False,False,Calbuco (Chile-S)
1938,1,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1941,2,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1943,4,Cono de ceniza,Historical,False,False,Michoacan-Guanajuato (Mexico)
1944,2,Volcán complejo,Historical,False,False,Dieng Volc Complex (Java)
1953,1,Estratovolcán,Historical,False,False,Oshima (Izu Is-Japan)
1973,,Estratovolcán,Historical,False,False,"Hudson, Cerro (Chile-S)"
1990,2,Caldera,Historical,False,False,Aso (Kyushu-Japan)
1991,6,Estratovolcán,Historical,False,True,Pinatubo (Luzon-Philippines)
1992,1,Estratovolcán,Historical,False,False,Pinatubo (Luzon-Philippines)
1995,2,Estratovolcán,Historical,False,False,Fogo (Cape Verde Is)
1996,3,Estratovolcán,Historical,False,False,Manam (New Guinea-NE of)
2000,,Volcán en escudo,Historical,False,False,Kilauea (Hawaiian Is)
2005,3,Estratovolcán,Historical,False,False,Santa Ana (El Salvador)
2006,2,Estratovolcán,Historical,True,False,Soufriere Hills (W Indies)
2015,,Estratovolcán,Historical,False,False,Calbuco (Chile-S)
2017,,Caldera,Historical,False,False,Campi Flegrei (Italy)
2018,,Estratovolcán,Holocene,False,False,Kadovar (New Guinea-NE of)
2018,,Estratovolcán,Historical,False,False,Ijen (Java)
-4350,7,Caldera,Historical,False,False,Kikai (Ryukyu Is)
934,4,Volcán subglacial,Historical,False,False,Katla (Iceland-S)
1250,,Estratovolcán,Historical,False,False,Fentale (Africa-NE)
1389,3,Estratovolcán,Historical,False,False,Hekla (Iceland-S)
1471,5,Estratovolcán,Historical,False,False,Sakura-jima (Kyushu-Japan)
1500,4,Volcán subglacial,Historical,False,False,Katla (Iceland-S)
1590,3,Estratovolcán,Historical,False,False,Colima (Mexico)
1596,2,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1606,2,Estratovolcán,Historical,True,False,Hachijo-jima (Izu Is-Japan)
1712,2,Estratovolcán,Historical,False,False,Bardarbunga (Iceland-NE)
1716,2,Estratovolcán,Historical,False,False,Bardarbunga (Iceland-NE)
1737,2,Volcán complejo,Historical,False,False,Vesuvius (Italy)
1779,4,Estratovolcán,Historical,False,False,Sakura-jima (Kyushu-Japan)
1783,4,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1822,3,Estratovolcán,Historical,False,False,Merapi (Java)
1840,3,Estratovolcán,Historical,False,False,Tinakula (Santa Cruz Is-SW Pac)
1845,2,Estratovolcán,Historical,True,True,Soputan (Sulawesi-Indonesia)
1847,2,Estratovolcán,Historical,False,False,Fogo (Cape Verde Is)
1856,3,Estratovolcán,Historical,True,True,Awu (Sangihe Is-Indonesia)
1861,4,Estratovolcán,Historical,False,False,Makian (Halmahera-Indonesia)
1903,1,Domo de lava,Historical,False,False,Okataina (New Zealand)
1951,,Volcán complejo,Radiocarbon,False,False,Hakone (Honshu-Japan)
1954,2,Estratovolcán,Historical,False,False,Bam (New Guinea-NE of)
1958,,Estratovolcán,Tephrochronology,False,False,Daisetsu (Hokkaido-Japan)
1962,2,Estratovolcán,Historical,False,False,Gamalama (Halmahera-Indonesia)
1969,2,Estratovolcán,Historical,False,False,Merapi (Java)
1973,3,Estratovolcán,Historical,False,False,Paluweh (Lesser Sunda Is)
1974,3,Estratovolcán,Historical,False,False,Sakura-jima (Kyushu-Japan)
1978,,Estratovolcán,Historical,False,False,Tangkubanparahu (Java)
1983,4,Estratovolcán,Historical,False,False,Colo [Una Una] (Sulawesi-Indonesia)
1987,2,Estratovolcán,Historical,False,False,Etna (Italy)
1994,3,Estratovolcán,Historical,False,False,Rinjani (Lesser Sunda Is)
1996,3,Caldera,Historical,False,False,Grimsvotn (Iceland-NE)
1997,3,Estratovolcán,Historical,False,False,Soufriere Hills (W Indies)
1999,3,Estratovolcán,Historical,False,False,Guagua Pichincha (Ecuador)
2001,2,Estratovolcán,Historical,False,False,Merapi (Java)
2002,1,Estratovolcán,Historical,False,False,Nyiragongo (Africa-C)
2011,,Estratovolcán,Historical,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
2012,,Volcán en escudo,Historical,False,False,Kilauea (Hawaiian Is)
2012,,Volcán en escudo,Historical,False,False,Kilauea (Hawaiian Is)
1631,,Volcán en escudo,Historical,False,True,Dama Ali (Africa-NE)
1659,4,Estratovolcán,Historical,True,False,Teon (Banda Sea)
1664,,Volcán complejo,Historical,True,False,Iwo-Tori-shima (Ryukyu Is)
1707,,Volcán en escudo,Historical,True,False,Santorini (Greece)
1729,2,Caldera,Historical,False,False,Krafla (Iceland-NE)
1780,4,Estratovolcán,Historical,False,False,Sakura-jima (Kyushu-Japan)
1835,,Caldera,Historical,False,True,Banda Api (Banda Sea)
1843,,Estratovolcán,Historical,True,False,Soufriere Guadeloupe (W Indies)
1854,5,Estratovolcán,Historical,False,False,Shiveluch (Kamchatka)
1856,,Estratovolcán,Historical,True,False,Shishaldin (Aleutian Is)
1860,2,Estratovolcán,Historical,False,False,Fuego (Guatemala)
1868,,Estratovolcán,Historical,True,True,Etna (Italy)
1872,4,Estratovolcán,Historical,False,False,Merapi (Java)
1875,0,Estratovolcán,Historical,False,False,Kelut (Java)
1878,,Estratovolcán,Historical,True,True,Yasur (Vanuatu-SW Pacific)
1909,2,Estratovolcán,Historical,False,True,"Cameroon, Mt. (Africa-W)"
1914,3,Caldera,Historical,False,False,Pago (New Britain-SW Pac)
1917,1,Domo de lava,Historical,False,False,Okataina (New Zealand)
1930,2,Caldera,Historical,True,False,Krakatau (Indonesia)
1930,3,Estratovolcán,Historical,True,False,Stromboli (Italy)
1934,,Estratovolcán,Historical,False,False,Hood (US-Oregon)
1946,4,Estratovolcán,Historical,True,False,Sarychev Peak (Kuril Is)
1954,,Estratovolcán,Historical,True,False,Stromboli (Italy)
1955,3,Estratovolcán,Historical,False,False,Sakura-jima (Kyushu-Japan)
1962,,Estratovolcán,Historical,False,False,Merapi (Java)
1990,4,Estratovolcán,Historical,False,False,Kelut (Java)
1993,1,Volcán complejo,Historical,False,False,Unzen (Kyushu-Japan)
2010,3,Estratovolcán,Historical,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
2014,,Volcán en escudo,Historical,False,False,Kilauea (Hawaiian Is)
2016,,Estratovolcán,Holocene,False,False,Sinabung (Sumatra)
2019,4,Estratovolcán,Historical,False,False,Manam (New Guinea-NE of)
2019,,Estratovolcán,Holocene,False,False,Sinabung (Sumatra)
